Text,Gender
"Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it.",Male
You have to keep breaking your heart until it opens.,Female
Stop acting so small. You are the universe in ecstatic motion.,Male
"I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Female
What you seek is seeking you.,Male
"You may not control all the events that happen to you, but you can decide not to be reduced by them.",Female
Don’t grieve. Anything you lose comes round in another form.,Male
"We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.",Female
"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",Male
"If you don’t like something, change it. If you can’t change it, change your attitude.",Female
"You were born with wings, why prefer to crawl through life?",Male
We need much less than we think we need.,Female
"Don’t be satisfied with stories, how things have gone with others. Unfold your own myth.",Male
"If I am not good to myself, how can I expect anyone else to be good to me?",Female
Everything that is made beautiful and fair and lovely is made for the eye of one who sees.,Male
Never make someone a priority when all you are to them is an option.,Female
Why should I be unhappy? Every parcel of my being is in full bloom.,Male
"Hate, it has caused a lot of problems in the world, but has not solved one yet.",Female
"Raise your words, not voice. It is rain that grows flowers, not thunder.",Male
"If I can stop one heart from breaking, I shall not live in vain",Female
"Ignore those that make you fearful and sad, that degrade you back towards disease and death.",Male
There’s a world of difference between truth and facts. Facts can obscure the truth.,Female
"There is a candle in your heart, ready to be kindled.
There is a void in your soul, ready to be filled.
You feel it, don’t you?",Male
"When someone shows you who they are, believe them the first time.",Female
"Words are a pretext. It is the inner bond that draws one person to another, not words.",Male
Forever is composed of nows,Female
Goodbyes are only for those who love with their eyes. Because for those who love with heart and soul there is no such thing as separation.,Male
That it will never come again is what makes life so sweet.,Female
Set your life on fire. Seek those who fan your flames.,Male
A little Madness in the Spring Is wholesome even for the King.,Female
"I know you’re tired but come, this is the way.",Male
Saying nothing sometimes says the most.,Female
"This is love: to fly toward a secret sky, to cause a hundred veils to fall each moment. First to let go of life. Finally, to take a step without feet.",Male
To live is so startling it leaves little time for anything else.,Female
The wound is the place where the light enters you.,Male
"I know nothing in the world that has as much power as a word. Sometimes I write one, and I look at it, until it begins to shine.",Female
